strategy_code,year,month,monthly_return
STR_IF_001,2022,6,0.001992
STR_IF_001,2022,7,0.065426
STR_IF_001,2022,8,0.060254
STR_IF_001,2022,9,0.030426
STR_IF_001,2022,10,0.045682
STR_IF_001,2022,11,0.086586
STR_IF_001,2022,12,0.037636
STR_IF_001,2023,1,0.039019
STR_IF_001,2023,2,0.048698
STR_IF_001,2023,3,0.079013
STR_IF_001,2023,4,0.000347
STR_IF_001,2023,5,0.043834
STR_IF_001,2023,6,0.087562
STR_IF_001,2023,7,0.021479
STR_IF_001,2023,8,0.062405
STR_IF_001,2023,9,0.024573
STR_IF_001,2023,10,0.000414
STR_IF_001,2023,11,0.029859
STR_IF_001,2023,12,0.037000
STR_IF_001,2024,1,0.151861
STR_IF_001,2024,2,0.248280
STR_IF_001,2024,3,0.060602
STR_IF_001,2024,4,0.058772
STR_IF_001,2024,5,0.007116
STR_IF_001,2024,6,0.040559
STR_IF_001,2024,7,0.096117
STR_IF_001,2024,8,0.063829
STR_IF_001,2024,9,0.296530
STR_IF_001,2024,10,0.175883
STR_IF_001,2024,11,0.126232
STR_IF_001,2024,12,0.075692
STR_IF_001,2025,1,0.049376
STR_IF_001,2025,2,0.071095
STR_IF_001,2025,3,0.037351
STR_IF_001,2025,4,0.157807
STR_IF_001,2025,5,0.025902
STR_IF_001,2025,6,0.037831
STR_IF_001,2025,7,0.013077
STR_IF_001,2025,8,0.040245
STR_IF_001,2025,9,0.018542
STR_IF_001,2025,10,0.040533
STR_IF_001,2025,11,0.024542
STR_IF_001,2025,12,0.007413
STR_IF_001,2026,1,0.025823
STR_IF_001,2026,2,0.023570
STR_IF_001,2026,3,0.049207
STR_IF_001,2026,4,-0.036028
